;fecha;texto;retweets;favoritos;hashtags;menciones;localizacion;origen;topic
12;2021-07-03 15:08:22;Read my mind. Sheets are in the dryer! Already made chicken enchiladas…in the freezer. Going to make one of her fav… https://t.co/a0dthJTDCZ;279;7422;[];[];Missouri;Twitter for iPhone;Freezer
13;2021-07-06 15:35:47;"🧊🏝☀️ freezer burn ☀️🏝🧊
🐻‍❄️ shot by @T4NN3RINA assisted by @needhamofficial https://t.co/api047gD4s";156;4096;[];['T4NN3RINA', 'needhamofficial'];New York, NY;Twitter for iPhone;Freezer
14;2021-07-01 02:30:02;Can Of Soda In Freezer Realizing Owner Never Coming Back For It https://t.co/wJeNB9LRMc https://t.co/tz2yCbPQYr;299;4711;[];[];;Sprout Social;Freezer
15;2021-06-30 19:29:47;sim sulista eu já entendi que eu não sei oq é frio de verdade e que aí parece um freezer agora deixa eu reclamar do frio em PAZ obrigada;337;2794;[];[];RJ;Twitter for Android;Freezer
1;2021-07-07 13:45:00;Fundación Cinemateca Nacional avanza en la programación Bicentenario de la Batalla de Carabobo… https://t.co/sWcnjOMRdt;149;20;[];[];Venezuela;Twitter Web App;Bicentenario
2;2021-07-07 16:50:34;#ATENCIÓN | “Una desgracia total”. Quejas y disconformidad entre personas que madrugaron por las vacunas contra el… https://t.co/3Qq61b0BLX;79;161;['ATENCIÓN'];[];Ecuador;TweetDeck;Bicentenario
3;2021-07-08 17:50:03;"#EnVideo 📹| Ministro para el Turismo.(@MinturVen)
@Alipadron6, anunció la apertura del plan: ""Turismo Social Bicent… https://t.co/wm9rRyaSlc";118;16;['EnVideo'];['MinturVen', 'Alipadron6'];Venezuela;Twitter Web App;Bicentenario
4;2021-07-08 16:05:50;"#EnVideo📹| Ministro para el Turismo @Alipadron6, anunció la apertura del plan: ""Turismo Social Bicentenario 200"", p… https://t.co/axkrgL6zjr";57;16;['EnVideo'];['Alipadron6'];Venezuela;Twitter Web App;Bicentenario
5;2021-07-07 19:22:16;#Covid19 | Las largas filas continúan en el centro de vacunación del Bicentenario, en el norte de #Quito, pasadas l… https://t.co/k3ea0ElrwT;46;83;['Covid19', 'Quito'];[];Ecuador;Twitter Web App;Bicentenario
6;2021-07-07 23:00:55;#MGPVideo En el marco del bicentenario institucional, se realizó la presentación del matasellado del primer día de… https://t.co/Iwna5aJ2u7;26;100;['MGPVideo'];[];Lima, Peru;Twitter Web App;Bicentenario
7;2021-07-07 20:14:17;"#Bicentenario 🇵🇪 | Este jueves 8 de julio la soprano Gladis Huamán estrena el himno nacional en ashaninka

Será en… https://t.co/d9TZ85sgZs";22;95;['Bicentenario'];[];Lima, Perú;Twitter Web App;Bicentenario
8;2021-07-07 15:40:00;"Personas madrugaron a la 01:00 para vacunarse en el Centro de Atención Temporal Bicentenario, norte de Quito
https://t.co/d6B7TzcZBh";18;25;[];[];Ecuador;TweetDeck;Bicentenario
9;2021-07-06 21:31:11;Mi única conclusión al acercarnos cada vez más al bicentenario es que este país está mal hecho. Eso nomas.;39;492;[];[];Lima, Peru;Twitter for Android;Bicentenario
10;2021-06-30 18:08:08;Verdaderamente hermoso los actos realizados en homenaje al Bicentenario de la Entrada Triunfal del Libertador Simón… https://t.co/FFM889ZHcL;2689;2319;[];[];Venezuela;Twitter for Android;Bicentenario
11;2021-07-06 22:43:09;"⭕ #AHORA

🏳️‍⚧️ El presidente @alferdez encabezará este miércoles en el Museo del Bicentenario el acto de firma del… https://t.co/0qqDQvixvp";35;254;['AHORA'];['alferdez'];Buenos Aires, Argentina;TweetDeck;Bicentenario
12;2021-07-08 10:31:07;"Olfer Leonardo: “Trabajo la memoria para ir al rescate de los olvidados”

Artista egresado de Bellas Artes acaba de… https://t.co/zexpblQOBO";13;52;[];[];Lima, Perú;Hootsuite Inc.;Bicentenario
13;2021-07-01 21:25:52;#EnVivo 📹 | Acto de Clausura del Congreso Bicentenario de la FVEU y la FEVEEM. https://t.co/B5xY3fuaw6;1254;1055;['EnVivo'];[];Venezuela;Twitter Media Studio;Bicentenario
1;2021-07-08 00:42:37;Como bien dice José Delgado, la gente SIGUE PERDIDA EN LA DROGA. Necesitamos rehabilitar al consumidor y mano dura… https://t.co/CrPKjnI0qz;29;111;[];[];Guayas, Ecuador;Twitter Web App;José Delgado
2;2021-07-05 14:43:04;El nuevo embajador de El Salvador en China, pregúntenle por qué fue echado de la Universidad Doctor José Matías Del… https://t.co/ICTkMbXPzz;88;509;[];[];El Salvador;Twitter for iPhone;José Delgado
3;2021-07-04 14:21:06;Nacional vuelve a recibir el clásico del fútbol uruguayo en el Gran Parque Central y lo hace en el marco de un enor… https://t.co/sA8CxqZryM;62;869;[];[];Uruguay;Twitter Web App;José Delgado
1;2021-07-08 16:56:52;#ATENCIÓN Presidenta de @CJudicaturaEc revela que hubo irregularidades en sorteos de las acciones interpuestas por… https://t.co/1zJQVh82f2;187;283;['ATENCIÓN'];['CJudicaturaEc'];Quito, Ecuador;Twitter Web App;Yunda
2;2021-07-08 02:17:36;El caso Yunda está demostrando lo podrido del sistema judicial, del sistema político y de muchas áreas del municipi… https://t.co/bO6zbIeJDb;199;595;[];[];Quito;Twitter for Android;Yunda
3;2021-07-08 02:24:53;#ATENCIÓN | La exsupervisora de la AMC Gabriela Obando regresa al Municipio de #Quito por designación de Jorge Yund… https://t.co/Wm5O1BpN6P;63;165;['ATENCIÓN', 'Quito'];[];Ecuador;TweetDeck;Yunda
4;2021-07-07 22:08:11;Juez concede medidas cautelares a favor de Jorge Yunda y suspende la remoción hasta que la Corte Provincial resuelv… https://t.co/l5iCtXoaGJ;66;221;[];[];Guayaquil, Ecuador;Hootsuite Inc.;Yunda
5;2021-07-08 18:28:28;#Atención | No hubo sorteo para la designación de juez que determinó medidas cautelares a favor de Jorge Yunda. La… https://t.co/GDr9lfGLsW;33;85;['Atención'];[];Ecuador;Twitter Web App;Yunda
6;2021-07-07 17:42:28;Jorge Yunda, sin respaldo en el Concejo, insiste en que el fallo de TCE no lo inhabilita ► https://t.co/AXiqVfYA0n https://t.co/c52O69XSIY;16;34;[];[];Guayaquil, Ecuador;Hootsuite Inc.;Yunda
7;2021-07-08 18:10:58;Encuentran irregularidades en sorteo de jueces a favor de Jorge Yunda. https://t.co/ulY9HeTqrn;18;45;[];[];Ecuador;Mediastream Platform;Yunda
8;2021-07-08 17:44:45;Tomamos MEDIDAS necesarias ante presuntas irregularidades en el sorteo de 2 acciones constitucionales en relación a… https://t.co/gvdwAlZxIZ;32;50;[];[];Quito, Ecuador;Twitter for iPhone;Yunda
9;2021-07-08 18:24:58;Abogados de Jorge Yunda también podrían ser sancionados por “abuso del derecho”. La presidenta del @CJudicaturaEc l… https://t.co/dxU3EyN1Re;22;84;[];['CJudicaturaEc'];Quito, Ecuador;Twitter Web App;Yunda
10;2021-07-07 22:42:46;#Atención | Jorge Yunda, alcalde de Quito removido, asegura que le otorgaron medidas cautelares que impiden que el… https://t.co/SqMTTN5EI7;18;60;['Atención'];[];Ecuador;Twitter Web App;Yunda
11;2021-07-08 18:30:21;Consejo de la Judicatura suspende e investiga a los dos jueces que conocieron acciones constitucionales presentadas… https://t.co/TftBJRKmTq;15;47;[];[];Guayaquil, Ecuador;Hootsuite Inc.;Yunda
12;2021-07-08 18:08:50;#ATENCIÓN | Los dos jueces que fallaron a favor del alcalde Jorge Yunda, en sus intentos por frenar su remoción, fu… https://t.co/GzsttKvvOo;16;26;['ATENCIÓN'];[];Quito;Hootsuite Inc.;Yunda
13;2021-07-07 23:36:33;🔴 En el dictamen frena la resolución del Concejo Metropolitano de removerlo de su cargo, hasta que se conozca la de… https://t.co/FeFBu4ERWO;19;86;[];[];Ecuador;Twitter for iPhone;Yunda
14;2021-07-08 15:38:48;Mismo programa de La Posta, se refieren a Yunda como “mamarracho”. Solo que Yunda no es “darling” de los “bien pensants” de la twitósfera?;9;36;[];[];ÜT: -2.120122,-79.867224;TweetDeck;Yunda
1;2021-07-06 21:22:00;"""Quem está infeliz com seu chefe e não tem opções? Aaron Rodgers!"" - @TomBrady

""Isso é rumor, Tom. Eu nunca disse… https://t.co/6Fbu2BgAyq";35;628;[];['TomBrady'];Brasil;Twitter Web App;Infeliz
2;2021-07-08 16:36:46;"HOJE TEM TÁ NA ÁREA! 

E depois dos jogos de ontem, eu e o @onavarromagno queremos ouvir torcedores de FLAMENGO E G… https://t.co/D74CdOpS7g";4;68;[];['onavarromagno'];Rio de Janeiro, Brasil;Twitter for iPhone;Infeliz
3;2021-07-08 17:17:42;Digamos que eso ya viene incluido en su “cajita infeliz” 🤣 https://t.co/1qTSSBcuOl;6;16;[];[];;Twitter for iPhone;Infeliz
4;2021-07-04 20:09:49;Pronto! 2022 já começou. Quem achou que a esquerda era capaz de dialogar em prol da democracia, já está começando a… https://t.co/0YCjvBZGMt;123;1840;[];[];;Twitter for iPhone;Infeliz
5;2021-07-02 01:37:50;"""SATISFAÇÃO QUE POUCOS TEM""!!! Essa é pra acabar com aquele papo de que o cara tava infeliz no Flamengo... Cravou e… https://t.co/La406WlWGV";21;547;[];[];Brasil;Twitter Web App;Infeliz
6;2021-07-05 16:52:53;"só compartilhe sua felicidade com quem fica feliz por você

quem se incomoda com sua felicidade no fundo está infel… https://t.co/H8GLFg9Zzd";32;138;[];[];Brasil;Twitter for iPhone;Infeliz
7;2021-07-04 18:00:03;Mucha gente no es mala, sólo es infeliz.;27;93;[];[];Distrito Federal, México;Crowdfire App;Infeliz
1;2021-07-08 02:20:01;"Abdalá Bucaram está involucrado en caso de delincuencia organizada
https://t.co/Ul3LmVoz6o";110;290;[];[];Quito, Ecuador;Hootsuite Inc.;Bucaram
2;2021-07-08 03:10:14;"#LoMásLeído | Jueces denuncian ""el empleo de artimañas y procedimientos de mala fe"" para dilatar un proceso en cont… https://t.co/Y7zYM00VA1";64;94;['LoMásLeído'];[];Guayaquil, Ecuador;Metricool;Bucaram
1;2021-07-07 13:49:22;La Comisión de Fiscalización investigará el caso #30S y pronto contará con información del #CIES. Además, pedimos d… https://t.co/jnqWhhJhiv;301;773;['30S', 'CIES'];[];Ecuador;Twitter Web App;Asamblea Nacional
2;2021-07-07 16:42:11;"""Sectores de la oposición que hacen vida en la Asamblea también aprobaron el Acuerdo que declara la inexistencia, i… https://t.co/hxx8gU4HhZ";79;27;[];[];Venezuela;TweetDeck;Asamblea Nacional
3;2021-07-07 16:32:57;Desde la ex-Senain, asambleístas anunciaron investigaciones del caso 30-S y del asesinato de periodistas de El Come… https://t.co/wlogjXCELt;65;160;[];[];Ecuador;Twitter for iPhone;Asamblea Nacional
4;2021-07-08 16:45:39;"#EnVivo Transmitimos Sesión Ordinaria de la Asamblea Nacional.

Somos RNV, la señal que recorre la Patria… https://t.co/w6pQ8BtSPF";46;2;['EnVivo'];[];Venezuela;Twitter Web App;Asamblea Nacional
5;2021-07-06 20:07:10;#EnVideo📹| Aprobado en primera discusión, por la plenaria de la Asamblea Nacional, El Proyecto de Ley sobre la Prom… https://t.co/8MkHrmSjNZ;107;35;['EnVideo'];[];Venezuela;Twitter Web App;Asamblea Nacional
6;2021-07-07 00:22:29;La comisión de fiscalización de la Asamblea Nacional anuncia que pidió al Presidente de la República desclasificar… https://t.co/PyQyqQcpzB;55;165;[];[];Ecuador;Mediastream Platform;Asamblea Nacional
7;2021-07-07 11:40:05;Nicolás Maduro sorprendió a muchos al emplear lenguaje inclusivo en su discurso por el Día de la Independencia de V… https://t.co/IM5h3TWiLe;24;60;[];[];En todas partes;SocialFlow;Asamblea Nacional
8;2021-07-07 20:34:25;#EnDesarrollo Anaya confirmó a El Diario de Hoy que este día fue notificado de la sanción, tras haber publicado una… https://t.co/NnkrMUFnjn;20;54;['EnDesarrollo'];[];San Salvador, El Salvador;TweetDeck;Asamblea Nacional
9;2021-07-06 21:15:30;El presidente de la Asamblea Nacional @jorgerpsuv, recibió el Proyecto de Ley sobre la promoción y uso del lenguaje… https://t.co/tg51ISXUHE;39;8;[];['jorgerpsuv'];Venezuela;Twitter Web App;Asamblea Nacional
10;2021-07-08 17:45:50;Entregan la Reforma de Ley de los Idiomas Indígenas al Presidente de la Asamblea Nacional, Jorge Rodríguez.… https://t.co/9FyhLxJmU1;42;18;[];[];Venezuela;Twitter for Android;Asamblea Nacional
11;2021-07-07 15:06:56;#7Jul El presidente de la Asamblea Nacional de la Alternativa Democrática, @jguaido, ofrece una rueda de prensa est… https://t.co/7Q2dDM045c;22;21;['7Jul'];['jguaido'];Miami,USA;Twitter Media Studio - LiveCut;Asamblea Nacional
12;2021-07-07 14:07:26;Estamos por comenzar en la sede de @EducacionAR la 107° Asamblea del Consejo Federal de Educación con la participac… https://t.co/UeyK4GzPYs;18;54;[];['EducacionAR'];Argentina;Twitter Web App;Asamblea Nacional
13;2021-07-07 15:09:43;#7Jul @jguaido, presidente de la Asamblea Nacional de la Alternativa Democrática: “El que tiene la carga hoy de la… https://t.co/mv9hzow9fP;20;9;['7Jul'];['jguaido'];Miami,USA;Twitter Media Studio - LiveCut;Asamblea Nacional
14;2021-07-06 17:35:00;"#EnVideo 📹 | Acto solemne por el Día de la Independencia en la Asamblea Nacional

#FlexibilizaciónConsciente

https://t.co/aoIi5zmf95";85;17;['EnVideo', 'FlexibilizaciónConsciente'];[];Venezuela;TweetDeck;Asamblea Nacional
1;2021-07-07 18:11:22;Fiscal del caso Efraín Ruales fue amenazado de muerte tras entrevista con medio digital La Posta ►… https://t.co/zuSpyUwHvc;498;998;[];[];Guayaquil, Ecuador;Hootsuite Inc.;Ruales
2;2021-07-07 23:32:22;🔴 Víctor González, quien investiga el asesinato del presentador Efraín Ruales, recibió una llamada en la que lo ame… https://t.co/aTTkWoR87m;92;197;[];[];Ecuador;Twitter for iPhone;Ruales
3;2021-07-08 00:30:08;Fiscal es amenazado de muerte y con demanda tras mencionar a Salcedo en entrevista de caso Efraín Ruales ►… https://t.co/iVhWRWb4Zd;84;128;[];[];Guayaquil, Ecuador;Hootsuite Inc.;Ruales
4;2021-07-07 23:10:00;#ATENCIÓN | Fiscalía confirma amenazas a funcionario que investiga el crimen del presentador Efraín Ruales »… https://t.co/aoBy6ZNrrj;46;111;['ATENCIÓN'];[];Ecuador;TweetDeck;Ruales
5;2021-07-08 04:30:15;La Fiscalía solicitó resguardo policial para el fiscal Víctor González, quien investiga el asesinato del presentado… https://t.co/zuMC5BuswA;24;44;[];[];Guayaquil, Ecuador;Metricool;Ruales
6;2021-07-08 18:21:42;#PlanVacunación9100 | El viceministro de Gobernanza, Dr. José Ruales y el ministro de @TurismoEc, @nielsolsenp, par… https://t.co/dEYfpfDzua;17;25;['PlanVacunación9100'];['TurismoEc', 'nielsolsenp'];Ecuador;Twitter Web App;Ruales
7;2021-07-08 14:16:53;¿Por qué un banco le solicitó a Ruales que justifique los valores ingresados a su cuenta?  https://t.co/ufgBs0pZd8 https://t.co/9ic8k9Zpe6;8;42;[];[];Quito, Ecuador;Hootsuite Inc.;Ruales
8;2021-07-08 00:30:02;El fiscal del caso Efraín Ruales fue amenazado de muerte después de mencionar en una entrevista que sospechaba que… https://t.co/otiKQvcdK3;16;19;[];[];Ecuador;Sprout Social;Ruales
9;2021-07-02 14:49:52;"#MSPEnMedios | El viceministro de Gobernanza, Dr. José Ruales brindó entrevista en @TelediarioEC - @EcuadorTV.

Tem… https://t.co/twbQCQAuWO";21;21;['MSPEnMedios'];['TelediarioEC', 'EcuadorTV'];Ecuador;Twitter Web App;Ruales
10;2021-07-05 23:03:30;"#PlanVacunación9100 | También participaron el viceministro de Gobernanza, José Ruales; el presidente del… https://t.co/TcDWWGTDUg";29;30;['PlanVacunación9100'];[];Ecuador;Twitter for Android;Ruales
1;2021-07-07 22:05:56;¿Qué tenía que hacer Jorge Guagua ofreciéndole un contrato con Emelec a Bryan Caicedo JUSTO DÍAS ANTES DEL CLÁSICO?… https://t.co/6OwX5QYJlw;228;555;[];[];Ecuador, Guayaquil;Twitter for Android;Bryan Caicedo
1;2021-07-08 17:10:49;"Mercado da bola:

Junior Sornoza, que pertence ao Corinthians e estava emprestado ao Tijuana até dezembro, foi libe… https://t.co/tnqq2VFVAd";6;223;[];[];Niterói;Twitter Web App;Junior Sornoza
1;2021-07-08 15:27:02;El Ministro @GustavoManriq_M desde la sala de control y vigilancia del @parquegalapagos, nos da detalles actuales d… https://t.co/PzZo6kEYID;42;42;[];['GustavoManriq_M', 'parquegalapagos'];Quito - Ecuador;Twitter Web App;Galápagos
2;2021-07-08 03:00:20;Son unos 300 barcos, la mayoría de origen chino, que se ubican entre las Zonas Económicas Exclusivas (ZEE) Insular… https://t.co/I4Y3lxQn5I;150;236;[];[];Guayaquil, Ecuador;Hootsuite Inc.;Galápagos
3;2021-07-08 16:30:00;#ATENCIÓN | Ecuador detecta 294 embarcaciones de flota pesquera cerca de #Galápagos. “China aceptó establecer un…”… https://t.co/0stWOOB4BE;22;37;['ATENCIÓN', 'Galápagos'];[];Ecuador;TweetDeck;Galápagos
4;2021-07-08 15:22:45;🤝 Juntos contribuimos al cuidado del ambiente. Almacenistas y distribuidores hacen una gran labor para proteger las… https://t.co/ivznI21NHO;22;13;[];[];Quito - Ecuador;Twitter Web App;Galápagos
5;2021-07-07 14:46:56;Une nouvelle étude de la fondation Darwin montre que les tortues géantes des Galapagos ont développé une résistance… https://t.co/d6Bqm2JVab;22;54;[];[];Paris, Ile-de-France;Twitter Web App;Galápagos
6;2021-07-07 14:40:05;La pesca del calamar gigante, en aguas internacionales entre la costa del Ecuador y Galápagos, reduce el alimento p… https://t.co/cIWgi1Pk3F;26;51;[];[];Guayaquil, Ecuador;Hootsuite Inc.;Galápagos
7;2021-07-07 15:34:16;#Galápagos | En @NoticiasGlps, el Ministro @GustavoManriq_M mencionó que durante su visita se reunió con el equipo… https://t.co/zS7ByjIuXx;27;30;['Galápagos'];['NoticiasGlps', 'GustavoManriq_M'];Quito - Ecuador;Twitter for Android;Galápagos
8;2021-07-07 22:46:43;#Galápagos | Estamos próximos al 𝗜𝗜𝗜 𝗦𝗶𝗺𝗽𝗼𝘀𝗶𝗼 𝗱𝗲 𝗖𝗶𝗲𝗻𝗰𝗶𝗮𝘀, para conmemorar la declaratoria de Patrimonio de la Huma… https://t.co/8Yl7oiBgUI;17;35;['Galápagos'];[];Santa Cruz - Galápagos;Twitter Web App;Galápagos
9;2021-07-08 04:39:03;Realmente @milcastillo33 estaba haciendo un buen trabajo en Galápagos;23;49;[];['milcastillo33'];Guayaquil;Twitter for iPhone;Galápagos
10;2021-07-06 15:15:39;"📢 Flota pesquera acecha Galápagos ¿qué ha hecho el Gobierno? 

📰La nota completa aquí ➡ https://t.co/73vDI0aNy7 https://t.co/mjLF3ifwd1";115;209;[];[];Ecuador;Twitter Web App;Galápagos
11;2021-07-04 01:20:50;Leonardo Di Caprio hace petición pública para proteger la vida marina en las islas Galápagos ►… https://t.co/Mw4R3EcKmI;535;2032;[];[];Guayaquil, Ecuador;Hootsuite Inc.;Galápagos
1;2021-07-07 23:39:02;⚽️💪🏽¡BIENVENIDO, GOLEADOR! Cristian Martínez Borja es ‘Tiburón’. El delantero se suma al equipo y se convierte en l… https://t.co/PRA80dnyFp;256;1830;[];[];Barranquilla, Colombia;Twitter for iPhone;Cristian Martínez Borja
2;2021-07-07 23:46:05;"9️⃣⚽️💪🏽 El delantero Cristian Martínez Borja ya posó con la ‘Rojiblanca’. ¡Vamos con todo! 

#VamosJunior🔴⚪️🔵 https://t.co/zt8LRdw4sd";170;1326;['VamosJunior'];[];Barranquilla, Colombia;Twitter for iPhone;Cristian Martínez Borja
3;2021-07-08 03:29:51;"El ""Parce"" Cristian Martínez Borja 🇨🇴 y su mensaje de despedida para la hinchada alba.
¡Gracias totales #Trucutú! https://t.co/cXs6Tsk37M";107;963;['Trucutú'];[];Quito - Ecuador;Twitter Ads;Cristian Martínez Borja
4;2021-07-08 03:19:54;#ComunicadoOficial: Cristian Martínez Borja https://t.co/cmjUaVw7v1;57;492;['ComunicadoOficial'];[];Quito - Ecuador;Hootsuite Inc.;Cristian Martínez Borja
5;2021-07-08 00:05:00;"¡Ya es Tiburón! 

Cristian Martínez Borja firmó y es nuevo jugador de Junior.

📸 @JuniorClubSA https://t.co/v5uTWzlo0N";21;409;[];['JuniorClubSA'];;TweetDeck;Cristian Martínez Borja
6;2021-07-08 11:26:10;"#BoletínDeportivo 

➡️ PSG anunció el fichaje de Sergio Ramos
➡️ Cristian Martínez Borja es nuevo jugador del Junio… https://t.co/gh5BZ2f2tD";4;7;['BoletínDeportivo'];[];Colombia;TweetDeck;Cristian Martínez Borja
7;2021-07-02 13:53:15;Hoy llegará a Barranquilla Cristian Martínez Borja, para presentar exámenes médicos y vincularse al Junior.;99;1007;[];[];Colombia;Twitter for iPhone;Cristian Martínez Borja
8;2021-07-01 15:43:40;#TemporadaDeHumo2021 En la búsqueda del delantero, Junior entiende que si llega Carlos Bacca al equipo, Cristian Ma… https://t.co/z9nT2jxBfE;32;254;['TemporadaDeHumo2021'];[];Barranquilla, Atlántico;Twitter Web App;Cristian Martínez Borja
9;2021-07-02 22:35:41;El delantero Cristian Martínez Borja llegará a Barranquilla y mañana iniciará exámenes médicos con Junior.… https://t.co/8byBFLM705;21;214;[];[];Barranquilla, Colombia;Twitter for iPhone;Cristian Martínez Borja
1;2021-07-07 07:44:48;"¿Hay en Europa más militantes del lobby LGTB que fieles de la religión catolica?
Les aseguro que no.
Pues nunca vi… https://t.co/IoOiFCd5Yj";949;2101;[];[];;Twitter for Mac;Católica
2;2021-07-08 09:55:44;¿Cómo? ¿Peña católica detrás de una agresión homófoba? Muerta me quedo de la sorpresa. https://t.co/R3Ue0VhMyR;103;406;[];[];Barcelona;Twitter for Android;Católica
3;2021-07-07 15:19:46;"💪 Apoyando a @CarlosMazon40 por el #XVCongresoPPCV:

📹 Confederación Valenciana de asociaciones de padres y madres… https://t.co/o6Uy4vX5yD";42;55;['XVCongresoPPCV'];['CarlosMazon40'];Comunidad Valenciana;Twitter for iPhone;Católica
4;2021-07-08 13:15:00;Primero fue un gobernador de un estado y luego un obispo de la iglesia católica en una capital estatal: el narcotrá… https://t.co/kP2Di6xXVH;29;63;[];[];Centro de la Ciudad de México;Twitter Web App;Católica
5;2021-07-07 16:56:02;El P. Reginald Jean-Mary, párroco de la Misión Católica Notre Dame d'Haiti, lamentó y condenó enérgicamente el ases… https://t.co/7O1nCchJHu;28;56;[];[];;ACI Prensa;Católica
6;2021-07-07 22:10:00;#LasIgualadas Ser católica y defender el derecho al aborto sí es posible, porque se respeta que la maternidad es un… https://t.co/PapENIbVtA;17;89;['LasIgualadas'];[];Colombia;TweetDeck;Católica
7;2021-07-07 14:30:20;"#LoÚltimo Iglesia católica #Nicaragua: ""no abusen de la gente, no hagan denuncias falsas"", lamentan migración por p… https://t.co/TY3dPum7dA";28;61;['LoÚltimo', 'Nicaragua'];[];Nicaragua;Twitter for Android;Católica
8;2021-07-07 15:01:15;"#Nación 🔍▶️ Iglesia católica lamenta el ""exilio forzado"" de miles de nicaragüenses por razones políticas y habla de… https://t.co/YLqfI4fPIF";19;39;['Nación'];[];Nicaragua;Twitter for Android;Católica
9;2021-07-07 13:07:35;"¡Vamos Católica por este nuevo día! ⚽🔥

Tengan un gran miércoles #LosCruzados y #LasCruzadas 🙌 https://t.co/vYusP7Kf4w";15;314;['LosCruzados', 'LasCruzadas'];[];San Carlos de Apoquindo, Chile;Twitter Web App;Católica
10;2021-07-08 02:45:00;#Nación 🔍▶️  Muchos nicaragüenses piensan que el país ha entrado a un túnel sin salida, “a una noche de oscuridad”… https://t.co/0lOj7smUZI;15;51;['Nación'];[];Nicaragua;TweetDeck;Católica
11;2021-07-07 15:10:07;"A través de una carta pastoral, la Iglesia demanda ""el respeto a los derechos humanos de todos los nicaragüenses, d… https://t.co/PsyjUn6wCT";21;43;[];[];Nicaragua;Hootsuite Inc.;Católica
12;2021-07-07 00:30:00;"¡Misión @Libertadores! ⚽🔥

Con el enfoque a 💯, #LosCruzados iniciaron con todo su preparación para el desafío de la… https://t.co/gbLohiiuM9";17;293;['LosCruzados'];['Libertadores'];San Carlos de Apoquindo, Chile;Twitter Media Studio;Católica
13;2021-07-06 18:20:09;En pocos meses se han encontrado unas 1.000 tumbas sin marcar en antiguos internados de Columbia Británica y Saskat… https://t.co/HJEd7HUGTc;64;149;[];[];En todas partes;SocialFlow;Católica
14;2021-07-04 18:35:29;Sou evangélico. Nossa mãe estudou em colégio de freiras e nos batizou na Igreja Católica. Hoje, domingo, faço uma h… https://t.co/yVEyoR09Lh;698;4648;[];[];;Twitter for Android;Católica
15;2021-07-08 17:15:56;"#EnVideo 🎥🔍▶️ Iglesia católica dice que en #Nicaragua se vive ""bajo el terror"" y en una nueva ""noche de oscuridad""… https://t.co/VNEpwNW01z";15;43;['EnVideo', 'Nicaragua'];[];Nicaragua;Twitter for Android;Católica
1;2021-07-08 16:38:59;"👨‍🏫🎙️ DT Fabián Bustos: ""Gabriel Marques está muy bien, pero los clubes ecuatorianos hicimos un pacto de caballeros… https://t.co/Q54VN80b3E";42;198;[];[];Guayaquil, Ecuador;Twitter Web App;barce
2;2021-07-08 16:12:02;"👨‍🏫🎙️ DT Fabián Bustos: ""Williams Riveros está en la lista de convocados y tiene grandes chances de jugar el… https://t.co/kMLTJoWnBs";40;176;[];[];Guayaquil, Ecuador;Twitter Web App;barce
3;2021-07-08 16:25:43;"👨‍🏫🎙️ DT Fabián Bustos: ""Darío Aimar ya se reincorporó a los entrenamientos, aún trabaja con el cuerpo médico, pero… https://t.co/BchiuDZGfl";21;100;[];[];Guayaquil, Ecuador;Twitter Web App;barce
